"","ID_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"31","09019","7100",NA,"14","13.5","15.9","37.8","103.6","244.6","266","272.3","232.6","99.1","14.8","9.4",NA,"1971 - 2000"
"32","09020","5110",NA,"10.9","5.3","10.3","25.1","69.5","163.6","217.9","214.1","192.2","79.4","15.1","5.3",NA,"1951 - 2010"
"33","09020","7100",NA,"8","5.5","11.1","23.4","67.5","156.8","218.7","200.5","180.7","77.7","11.7","4.8","966.4","1971 - 2000"
"34","09020","8110",NA,"8.3","6","11.5","23.6","68.6","175.7","227.4","214.3","198.8","81.8","10.6","3.7",NA,"1981 - 2010"
"35","09021","5110",NA,"8.5","4.5","9.2","26.2","52.3","138.1","152","163.9","131","57.8","5.3","5.2","754","1951 - 2010"
"36","09021","7100",NA,"7.2","5.7","6.8","23.9","56.6","143.2","165.1","158.2","122.3","61.4","4.9","4.6","759.9","1971 - 2000"
"37","09022","5110",NA,"14.5","7.7","19.6","51.7","82.6","219.5","267.8","281.9","232.7","91","15.6","7.5",NA,"1951 - 2010"
"38","09022","7100",NA,"6.6","6","19","51.9","82.1","221.9","260.3","270.5","201.3","88.3","14.4","6.7",NA,"1971 - 2000"
"39","09022","8110",NA,"11.1","7","22.8","57.1","88.6","235.7","282.8","278.8","251.8","101.3","15.5","4",NA,"1981 - 2010"
"40","09023","5110",NA,"10.5","3.6","12.4","20.6","56.2","144.7","198.1","171.7","158.3","47.8","5.1","4.5","833.5","1951 - 2010"
"41","09024","5110",NA,"8","4","11","22.5","60.3","123","177","168.3","128","54.9","9.4","5.1","771.5","1951 - 2010"
"42","09025","5110",NA,"7.9","5.2","10.2","25.7","46.6","115.1","118.3","113.3","96.5","41.5","4.9","6.3","591.5","1951 - 2010"
"43","09025","7100",NA,"5.9","5.1","7","22.2","47.6","107.5","121.4","106.2","89.7","44.2","4.6","6.5","567.9","1971 - 2000"
"44","09025","8110",NA,"4.5","4.6","5.1","21.7","36.9","97.5","104.4","81.6","66","23.8","2.6","4.9","453.6","1981 - 2010"
"45","09026","5110",NA,"11.3","4.7","7.7","23.1","53.3","106.7","123.2","111.9","99.7","51.7","16.7","10","620","1951 - 2010"
"46","09026","7100",NA,"7.6","6.6","8.2","21","53","112.7","124.7","107.3","95.8","53.7","18.2","10.6","619.4","1971 - 2000"
"47","09026","8110",NA,"6.7","7.8","6.8","20.9","45.9","118.6","121.1","100.5","92.2","48.5","26.3","12.9","608.2","1981 - 2010"
"48","09028","5110",NA,"11.4","5.8","12.5","31.6","50.8","127.3","138.8","124.6","116.9","48.3","8.7","5.4","682.1","1951 - 2010"
"49","09028","7100",NA,"7.7","6","10.7","24.5","55.4","125.5","139.1","110.1","105.8","52.8","9.8","5.3","652.7","1971 - 2000"
"50","09029","5110",NA,"9.1","5.8","10","23.9","48.7","104.7","121.9","117.8","96","48.1","13.6","5.3","604.9","1951 - 2010"
